Step,Wall Time,energy/usage
25943,1706305665.1962569,55.0
26210,1706305666.1964896,55.0
26578,1706305667.1978884,55.0
26625,1706305668.7187562,88.0
26991,1706305669.7213333,55.0
27258,1706305670.7218304,55.0
27624,1706305671.7237184,55.0
27977,1706305672.725878,51.0
28226,1706305673.726617,48.0
28573,1706305674.7289262,48.0
28673,1706305676.4071507,91.0
29000,1706305677.6355782,59.0
29350,1706305678.6368723,48.0
29699,1706305679.6376953,48.0
30000,1706305680.7917662,55.0
30351,1706305681.7938476,48.0
30698,1706305682.7939906,48.0
30721,1706305684.251527,81.0
31000,1706305685.3608582,53.0
31349,1706305686.3610168,48.0
31699,1706305687.3631403,48.0
32000,1706305688.5199823,56.0
32350,1706305689.5200548,48.0
32701,1706305690.5230372,48.0
32769,1706305692.1084323,84.0
33007,1706305693.1110735,48.0
33357,1706305694.1137154,48.0
33702,1706305695.1157122,48.0
34000,1706305696.2915566,56.0
34350,1706305697.2938373,48.0
34701,1706305698.2959774,48.0
34817,1706305700.0228848,93.0
35052,1706305701.023749,48.0
35403,1706305702.0262985,48.0
35752,1706305703.0277798,48.0
36000,1706305704.0598323,50.0
36351,1706305705.0611403,48.0
36698,1706305706.0623872,48.0
36865,1706305707.940102,97.0
37102,1706305708.9418056,52.0
37453,1706305709.9428859,52.0
37800,1706305710.9449925,52.0
38039,1706305711.9451756,52.0
38389,1706305712.9474049,52.0
38742,1706305713.9499092,52.0
38913,1706305715.8335514,104.0
39150,1706305716.8335598,52.0
39502,1706305717.835056,52.0
39854,1706305718.837777,52.0
40095,1706305719.8377886,52.0
40447,1706305720.8400502,52.0
40800,1706305721.8428035,52.0
40961,1706305723.703596,102.0
41208,1706305724.7050552,55.0
41569,1706305725.7077298,56.0
41920,1706305726.7086086,51.0
42155,1706305727.7087288,48.0
42503,1706305728.709601,48.0
42850,1706305729.7121193,48.0
43009,1706305731.8905451,113.0
43358,1706305732.8922083,52.0
43709,1706305733.894043,52.0
44000,1706305735.0534134,61.0
44350,1706305736.0557723,52.0
44702,1706305737.0579755,52.0
45000,1706305738.2378855,62.0
45057,1706305739.8040235,90.0
45422,1706305740.8043416,55.0
45787,1706305741.8053396,55.0
46032,1706305742.8067718,56.0
46393,1706305743.8084826,56.0
46754,1706305744.809566,56.0
47003,1706305745.8112452,56.0
47105,1706305747.4806888,96.0
47467,1706305748.4815392,55.0
47832,1706305749.482845,56.0
48083,1706305750.4850252,56.0
48448,1706305751.487248,56.0
48809,1706305752.4885235,56.0
49060,1706305753.489978,56.0
49153,1706305755.0191143,89.0
49489,1706305756.0204759,56.0
49828,1706305757.0226681,56.0
50065,1706305758.023315,56.0
50394,1706305759.0262413,54.0
50715,1706305760.0271354,52.0
51000,1706305761.221837,63.0
51201,1706305763.2359025,115.0
51563,1706305764.237822,55.0
51912,1706305765.2387865,50.0
52155,1706305766.2405396,48.0
52500,1706305767.2405803,48.0
52847,1706305768.2418063,48.0
53091,1706305769.2437482,48.0
53249,1706305771.034107,95.0
53601,1706305772.0358028,53.0
53951,1706305773.0383484,53.0
54195,1706305774.0398421,53.0
54547,1706305775.0404832,53.0
54899,1706305776.0420773,53.0
55142,1706305777.0423918,53.0
55297,1706305778.8805952,101.0
55660,1706305779.8815837,56.0
56000,1706305781.142706,64.0
56348,1706305782.1454597,48.0
56701,1706305783.1457665,48.0
57000,1706305784.2919958,55.0
57345,1706305786.509825,132.0
57689,1706305787.512161,41.0
58000,1706305788.7231383,49.0
58343,1706305789.7250354,41.0
58689,1706305790.7263405,42.0
59000,1706305791.8973923,56.0
59351,1706305792.8979917,48.0
59393,1706305794.4146159,82.0
59744,1706305795.4149642,53.0
60000,1706305796.427774,53.0
60353,1706305797.4283407,53.0
60707,1706305798.4294815,53.0
61000,1706305799.5528865,59.0
61349,1706305800.5545914,53.0
61441,1706305802.2204928,94.0
61803,1706305803.2206051,56.0
62063,1706305804.2229986,56.0
62427,1706305805.2243733,56.0
62790,1706305806.224422,56.0
63053,1706305807.22712,56.0
63417,1706305808.2278361,56.0
63489,1706305809.814458,90.0
63852,1706305810.8166177,56.0
64115,1706305811.8184712,56.0
64477,1706305812.8189938,55.0
64842,1706305813.8205519,56.0
65111,1706305814.821835,55.0
65476,1706305815.8236327,56.0
65537,1706305817.393994,91.0
65886,1706305818.3953476,61.0
66120,1706305819.398414,57.0
66452,1706305820.3987103,56.0
66776,1706305821.3997374,50.0
67000,1706305822.4179394,49.0
67324,1706305823.4201565,48.0
67585,1706305825.7129724,125.0
67933,1706305826.7130265,53.0
68185,1706305827.7157257,53.0
68540,1706305828.7185557,53.0
68896,1706305829.7212257,53.0
69149,1706305830.7213092,53.0
69502,1706305831.7242935,53.0
69633,1706305833.4944286,99.0
69996,1706305834.4954987,55.0
70259,1706305835.4960642,55.0
70622,1706305836.4988027,56.0
70986,1706305837.5001516,56.0
71251,1706305838.502796,56.0
71616,1706305839.5048957,56.0
71681,1706305841.085027,93.0
72000,1706305842.2599492,66.0
72352,1706305843.260778,53.0
72695,1706305844.2621284,48.0
73000,1706305845.4407585,57.0
73344,1706305846.4425151,48.0
73689,1706305847.4426534,48.0
73729,1706305848.9575717,81.0
74000,1706305850.0402722,52.0
74345,1706305851.0404549,48.0
74689,1706305852.0413444,48.0
75000,1706305853.2327902,57.0
75346,1706305854.233516,48.0
75693,1706305855.235893,48.0
75777,1706305856.8909328,89.0
76021,1706305857.8919132,52.0
76364,1706305858.8930354,52.0
76712,1706305859.8947973,53.0
77000,1706305861.0198028,59.0
77348,1706305862.024544,53.0
77691,1706305863.0264242,52.0
77825,1706305864.8427277,98.0
78061,1706305865.8449569,48.0
78404,1706305866.8469658,48.0
78748,1706305867.8477192,48.0
79000,1706305868.8762798,49.0
79344,1706305869.8777597,48.0
79689,1706305870.8792372,48.0
79873,1706305872.8327029,103.0
80115,1706305873.8343396,48.0
80462,1706305874.8364604,48.0
80808,1706305875.8381412,48.0
81049,1706305876.838786,48.0
81394,1706305877.841069,48.0
81739,1706305878.8419335,48.0
81921,1706305880.77784,102.0
82164,1706305881.7795434,48.0
82508,1706305882.7804856,48.0
82856,1706305883.7829843,48.0
83101,1706305884.783147,48.0
83448,1706305885.786068,48.0
83794,1706305886.7887294,48.0
83969,1706305888.4783516,91.0
84213,1706305889.4802759,48.0
84560,1706305890.4827006,48.0
84909,1706305891.4842603,48.0
85157,1706305892.4847646,48.0
85507,1706305893.4849303,48.0
85857,1706305894.4871185,48.0
86017,1706305896.6403952,115.0
86367,1706305897.6428447,52.0
86719,1706305898.643772,52.0
87000,1706305899.73889,57.0
87351,1706305900.741433,52.0
87703,1706305901.7425013,52.0
88000,1706305902.8864863,60.0
88065,1706305904.4276974,95.0
88427,1706305905.4292498,56.0
88791,1706305906.4312098,56.0
89053,1706305907.4326835,56.0
89415,1706305908.4329615,56.0
89778,1706305909.43414,56.0
90032,1706305910.4362445,55.0
90113,1706305912.08081,92.0
90449,1706305913.0836332,41.0
90789,1706305914.0840771,41.0
91027,1706305915.085121,41.0
91365,1706305916.0881073,41.0
91705,1706305917.0898414,41.0
92000,1706305918.2605736,48.0
92161,1706305920.1536963,95.0
92502,1706305921.1545024,41.0
92838,1706305922.1556406,41.0
93073,1706305923.1559875,40.0
93411,1706305924.1565897,41.0
93750,1706305925.1587675,41.0
94000,1706305926.2127233,43.0
94209,1706305928.230491,95.0
94557,1706305929.2323823,48.0
94905,1706305930.23251,48.0
95152,1706305931.2343645,48.0
95498,1706305932.2369523,48.0
95845,1706305933.2380466,48.0
96093,1706305934.239889,48.0
96257,1706305936.1274116,101.0
96606,1706305937.1280332,52.0
96956,1706305938.12959,52.0
97205,1706305939.1319714,52.0
97555,1706305940.134226,52.0
97905,1706305941.135475,52.0
98151,1706305942.1372771,52.0
98305,1706305944.004874,103.0
98652,1706305945.0047903,52.0
99000,1706305946.2930737,67.0
99349,1706305947.2938297,52.0
99699,1706305948.296477,52.0
100000,1706305949.4565225,60.0
100350,1706305950.458757,52.0
100353,1706305951.8777704,80.0
100701,1706305952.8789542,52.0
101000,1706305954.0282242,60.0
101350,1706305955.0299714,52.0
101699,1706305956.0308309,52.0
102000,1706305957.1874373,60.0
102349,1706305958.188784,52.0
102401,1706305959.7488425,87.0
102750,1706305960.751431,52.0
103000,1706305961.7637033,53.0
103348,1706305962.764317,52.0
103696,1706305963.7668595,52.0
104000,1706305964.9384866,61.0
104350,1706305965.939331,52.0
104449,1706305967.518727,89.0
104796,1706305968.5207381,52.0
105042,1706305969.5210345,52.0
105390,1706305970.522099,52.0
105737,1706305971.5240896,52.0
106000,1706305972.575067,55.0
106348,1706305973.5759392,52.0
106497,1706305975.4191084,102.0
106844,1706305976.419567,51.0
107091,1706305977.4201076,51.0
107439,1706305978.4215672,51.0
107787,1706305979.4244444,51.0
108034,1706305980.4251325,52.0
108382,1706305981.4264708,52.0
108545,1706305983.3156302,106.0
108892,1706305984.3162012,52.0
109139,1706305985.316454,51.0
109484,1706305986.3170433,51.0
109828,1706305987.3182063,51.0
110075,1706305988.319387,52.0
110424,1706305989.3219023,51.0
110593,1706305991.2345417,106.0
110938,1706305992.235949,52.0
111185,1706305993.2379782,52.0
111532,1706305994.2383265,52.0
111880,1706305995.2387733,52.0
112128,1706305996.2401562,52.0
112476,1706305997.2419481,52.0
112641,1706305999.1386254,105.0
112989,1706306000.140411,52.0
113238,1706306001.1427155,52.0
113586,1706306002.1455545,52.0
113934,1706306003.1462758,52.0
114183,1706306004.1474276,52.0
114531,1706306005.1480255,52.0
114689,1706306007.02205,103.0
115000,1706306008.2127247,62.0
115348,1706306009.2134004,52.0
115696,1706306010.2142472,52.0
116000,1706306011.376201,60.0
116348,1706306012.3786848,52.0
116697,1706306013.3805742,52.0
116737,1706306014.8476613,80.0
117000,1706306015.8949502,54.0
117348,1706306016.8955476,52.0
117696,1706306017.8964016,52.0
118000,1706306019.060453,60.0
118349,1706306020.0630465,52.0
118697,1706306021.0637238,52.0
118785,1706306022.611429,87.0
119031,1706306023.6134567,52.0
119379,1706306024.615354,52.0
119726,1706306025.6158438,52.0
120000,1706306026.6908543,56.0
120349,1706306027.6925333,52.0
120695,1706306028.6940236,52.0
120833,1706306030.517602,102.0
121080,1706306031.5191982,52.0
121428,1706306032.521478,53.0
121777,1706306033.5239782,52.0
122026,1706306034.526292,52.0
122374,1706306035.5286045,52.0
122721,1706306036.5289328,52.0
122881,1706306038.4087062,105.0
123128,1706306039.4095507,52.0
123476,1706306040.4117286,52.0
123824,1706306041.4119124,52.0
124072,1706306042.4143522,52.0
124421,1706306043.417271,52.0
124769,1706306044.4182575,52.0
124929,1706306046.2910886,101.0
125176,1706306047.2912495,51.0
125524,1706306048.291563,52.0
125873,1706306049.292791,52.0
126119,1706306050.2934856,52.0
126468,1706306051.294363,52.0
126816,1706306052.2949333,52.0
126977,1706306054.1760805,103.0
127225,1706306055.1785982,52.0
127574,1706306056.1803837,52.0
127923,1706306057.1803892,52.0
128173,1706306058.1815045,52.0
128523,1706306059.1840987,52.0
128872,1706306060.1852043,52.0
129025,1706306062.331865,117.0
129374,1706306063.3345037,52.0
129722,1706306064.334815,52.0
130000,1706306065.4224741,56.0
130349,1706306066.4250395,52.0
130697,1706306067.4252214,52.0
131000,1706306068.5809464,60.0
131073,1706306070.2167807,90.0
131420,1706306071.2190113,52.0
131765,1706306072.2202291,52.0
132013,1706306073.220197,52.0
132362,1706306074.221244,52.0
132711,1706306075.2215486,52.0
133000,1706306076.3324273,57.0
133121,1706306078.1048653,98.0
133468,1706306079.1056979,52.0
133816,1706306080.1063764,52.0
134065,1706306081.1086183,52.0
134414,1706306082.1105282,52.0
134763,1706306083.110754,52.0
135012,1706306084.111356,52.0
135169,1706306085.986197,101.0
135517,1706306086.988271,52.0
135866,1706306087.9901972,52.0
136112,1706306088.9909437,52.0
136462,1706306089.9934313,52.0
136811,1706306090.9937294,51.0
137060,1706306091.994672,52.0
137217,1706306093.876344,103.0
137565,1706306094.8776994,52.0
137913,1706306095.8784251,51.0
138161,1706306096.8805587,52.0
138509,1706306097.8812373,52.0
138858,1706306098.8839073,52.0
139107,1706306099.885095,52.0
139265,1706306101.7597528,103.0
139611,1706306102.761328,52.0
139959,1706306103.7640562,52.0
140207,1706306104.7651732,52.0
140556,1706306105.7679691,52.0
140904,1706306106.7703366,52.0
141152,1706306107.7718403,52.0
141313,1706306109.4878037,95.0
141660,1706306110.4888763,52.0
142000,1706306111.7539532,65.0
142348,1706306112.7549543,52.0
142694,1706306113.756251,52.0
143000,1706306114.9300191,61.0
143348,1706306115.9315045,52.0
143361,1706306117.2083302,72.0
143685,1706306118.2086804,51.0
144000,1706306119.4839554,66.0
144325,1706306120.4868534,52.0
144650,1706306121.489121,52.0
144973,1706306122.4893417,52.0
145199,1706306123.491631,52.0
145409,1706306125.4273255,108.0
145757,1706306126.4297595,52.0
146006,1706306127.4319906,52.0
146355,1706306128.4322898,52.0
146704,1706306129.4336004,52.0
147000,1706306130.5771408,59.0
147348,1706306131.5782065,52.0
147457,1706306133.2716413,93.0
147780,1706306134.2733526,54.0
148006,1706306135.2742789,52.0
148331,1706306136.2771716,52.0
148655,1706306137.2772593,52.0
148980,1706306138.2780905,52.0
149207,1706306139.2799716,52.0
149505,1706306141.48835,122.0
149847,1706306142.4902742,52.0
150093,1706306143.4924521,52.0
150440,1706306144.494528,52.0
150787,1706306145.4970665,52.0
151034,1706306146.4993315,52.0
151381,1706306147.5018616,52.0
151553,1706306149.2598124,98.0
151898,1706306150.2625172,52.0
152143,1706306151.2635987,52.0
152488,1706306152.2656379,53.0
152834,1706306153.2664654,52.0
153078,1706306154.2688782,52.0
153419,1706306155.270089,52.0
153601,1706306157.2360404,109.0
153954,1706306158.2375019,52.0
154206,1706306159.2385185,52.0
154561,1706306160.2413695,52.0
154916,1706306161.2438698,52.0
155170,1706306162.2457962,52.0
155525,1706306163.2475119,52.0
155649,1706306165.049544,101.0
155968,1706306166.0515041,53.0
156194,1706306167.0546458,52.0
156518,1706306168.0564334,52.0
156842,1706306169.0567389,52.0
157068,1706306170.059137,52.0
157393,1706306171.0610154,52.0
157697,1706306173.2698076,124.0
158000,1706306174.4696863,68.0
158324,1706306175.4715755,52.0
158647,1706306176.4725366,52.0
158971,1706306177.474793,52.0
159196,1706306178.4760532,52.0
159520,1706306179.476863,52.0
159745,1706306181.3919954,106.0
160000,1706306182.4131274,54.0
160349,1706306183.4153903,52.0
160697,1706306184.4162977,52.0
161000,1706306185.5722687,60.0
161349,1706306186.573408,52.0
161698,1706306187.5761528,52.0
161793,1706306189.1777847,89.0
162039,1706306190.1784875,52.0
162385,1706306191.179335,52.0
162731,1706306192.1820664,52.0
163000,1706306193.246248,56.0
163346,1706306194.2485397,52.0
163693,1706306195.249083,52.0
163841,1706306196.9735336,96.0
164081,1706306197.975066,48.0
164425,1706306198.9758017,48.0
164768,1706306199.9777288,48.0
165011,1706306200.9792378,48.0
165356,1706306201.980952,48.0
165700,1706306202.9834652,48.0
165889,1706306204.8040864,99.0
166133,1706306205.8047366,52.0
166479,1706306206.8048656,52.0
166823,1706306207.8049836,52.0
167069,1706306208.8067956,52.0
167413,1706306209.8086603,52.0
167759,1706306210.8109806,52.0
167937,1706306212.6367114,106.0
168182,1706306213.6382654,52.0
168528,1706306214.6406307,52.0
168874,1706306215.6429513,52.0
169120,1706306216.6435604,52.0
169466,1706306217.6444275,52.0
169813,1706306218.6471968,52.0
169985,1706306220.4643352,101.0
170232,1706306221.4657135,52.0
170577,1706306222.4680426,52.0
170923,1706306223.46992,52.0
171170,1706306224.4707956,52.0
171516,1706306225.4714246,52.0
171862,1706306226.4724658,52.0
172033,1706306228.5544481,115.0
172377,1706306229.5566695,52.0
172723,1706306230.5587592,52.0
173000,1706306231.6492016,57.0
173342,1706306232.6502151,52.0
173688,1706306233.652052,52.0
174000,1706306234.8409016,62.0
174081,1706306236.4129536,88.0
174426,1706306237.4156854,53.0
174771,1706306238.4170303,53.0
175017,1706306239.4181666,53.0
175362,1706306240.4184923,52.0
175703,1706306241.4187593,53.0
176000,1706306242.574384,61.0
176129,1706306244.3633602,99.0
176451,1706306245.364058,53.0
176775,1706306246.3668613,53.0
177000,1706306247.369246,53.0
177324,1706306248.3714776,53.0
177648,1706306249.3741846,53.0
177972,1706306250.3762708,53.0
178177,1706306252.9335563,143.0
178499,1706306253.9351614,53.0
178822,1706306254.9361634,53.0
179047,1706306255.9379122,53.0
179371,1706306256.9410458,53.0
179694,1706306257.9414203,53.0
180000,1706306259.1937923,66.0
180225,1706306261.3354712,119.0
180550,1706306262.3361762,55.0
180873,1706306263.3392391,53.0
181096,1706306264.341376,53.0
181420,1706306265.3420465,52.0
181743,1706306266.344511,53.0
182000,1706306267.4417422,58.0
182273,1706306269.9311619,138.0
182597,1706306270.93289,52.0
182920,1706306271.934055,52.0
183144,1706306272.9361906,52.0
183467,1706306273.9364889,52.0
183790,1706306274.9375224,53.0
184016,1706306275.939749,52.0
184321,1706306278.5245738,145.0
184643,1706306279.525947,52.0
184967,1706306280.5268142,52.0
185193,1706306281.5285282,52.0
185515,1706306282.5288641,52.0
185839,1706306283.529837,52.0
186065,1706306284.5307338,52.0
186369,1706306287.0876894,143.0
186692,1706306288.0906227,53.0
187000,1706306289.3539205,66.0
187323,1706306290.3542607,52.0
187647,1706306291.3571863,53.0
187968,1706306292.3595665,52.0
188193,1706306293.3598967,52.0
188417,1706306295.5555103,123.0
188768,1706306296.5581636,52.0
189020,1706306297.5603914,52.0
189372,1706306298.5624619,52.0
189723,1706306299.5631258,52.0
190000,1706306300.6344604,56.0
190352,1706306301.6362324,52.0
190465,1706306303.3924372,101.0
190815,1706306304.394345,52.0
191067,1706306305.396278,52.0
191419,1706306306.3968704,52.0
191771,1706306307.3987458,52.0
192023,1706306308.3996336,52.0
192374,1706306309.4003646,52.0
192513,1706306311.2242677,102.0
192863,1706306312.2247,52.0
193115,1706306313.2249885,52.0
193466,1706306314.2258952,52.0
193814,1706306315.228864,52.0
194065,1706306316.2287133,52.0
194417,1706306317.229355,52.0
194561,1706306319.0003,98.0
194878,1706306320.002309,52.0
195104,1706306321.0038857,52.0
195427,1706306322.0052505,53.0
195750,1706306323.00785,53.0
196000,1706306324.0843642,57.0
196324,1706306325.0858693,53.0
196609,1706306327.1832967,117.0
196932,1706306328.1835833,53.0
197159,1706306329.1858857,53.0
197483,1706306330.1864796,53.0
197807,1706306331.1867692,53.0
198032,1706306332.188931,53.0
198356,1706306333.1891944,53.0
198657,1706306335.604661,133.0
199000,1706306336.9178264,75.0
199322,1706306337.9189067,53.0
199643,1706306338.9222631,53.0
199966,1706306339.92459,53.0
200191,1706306340.9262133,53.0
200514,1706306341.9263933,53.0
200705,1706306343.7112315,99.0
201000,1706306344.8367279,59.0
201352,1706306345.838718,53.0
201704,1706306346.8399262,53.0
202000,1706306347.970409,60.0
202352,1706306348.971726,53.0
202703,1706306349.974482,53.0
202753,1706306351.4451833,87.0
203000,1706306352.4647865,60.0
203338,1706306353.4654613,56.0
203676,1706306354.465645,56.0
204000,1706306355.7154818,70.0
204339,1706306356.7161462,56.0
204677,1706306357.7165177,56.0
204801,1706306359.446012,100.0
205018,1706306360.4468994,43.0
205334,1706306361.4483557,41.0
205649,1706306362.449808,41.0
205965,1706306363.4502199,41.0
206184,1706306364.4521463,41.0
206501,1706306365.453975,41.0
206819,1706306366.456321,41.0
206849,1706306368.018183,85.0
207100,1706306369.0188746,53.0
207451,1706306370.0207694,53.0
207802,1706306371.0218475,53.0
208054,1706306372.0240326,53.0
208403,1706306373.024127,53.0
208755,1706306374.0264874,53.0
208897,1706306375.8625581,102.0
209163,1706306376.8627625,55.0
209523,1706306377.8634243,56.0
209883,1706306378.8644376,56.0
210141,1706306379.8675184,55.0
210491,1706306380.8701313,52.0
210841,1706306381.8727174,52.0
210945,1706306383.5069594,93.0
211195,1706306384.509284,53.0
211547,1706306385.5100305,53.0
211898,1706306386.512889,53.0
212148,1706306387.5156474,53.0
212499,1706306388.5164802,53.0
212851,1706306389.5167775,53.0
212993,1706306391.364158,103.0
213240,1706306392.365561,53.0
213592,1706306393.366129,52.0
213944,1706306394.3677516,52.0
214197,1706306395.3685155,52.0
214550,1706306396.3697321,52.0
214902,1706306397.3708658,53.0
215041,1706306399.4775488,117.0
215401,1706306400.4794834,56.0
215761,1706306401.4795973,56.0
216017,1706306402.4814718,56.0
216368,1706306403.4816513,53.0
216720,1706306404.4835074,53.0
217000,1706306405.5673482,57.0
217089,1706306407.259276,93.0
217438,1706306408.2601097,52.0
217790,1706306409.2614017,52.0
218041,1706306410.2618465,52.0
218392,1706306411.2627482,52.0
218737,1706306412.2649992,52.0
219000,1706306413.295676,54.0
219137,1706306415.1174517,100.0
219488,1706306416.118687,52.0
219840,1706306417.1212544,52.0
220092,1706306418.1216497,52.0
220444,1706306419.1236548,52.0
220796,1706306420.124529,52.0
221048,1706306421.126255,52.0
221185,1706306422.8228374,98.0
221551,1706306423.823894,59.0
221918,1706306424.82468,59.0
222186,1706306425.8257668,59.0
222554,1706306426.8276157,59.0
222917,1706306427.828238,58.0
223160,1706306428.8295279,41.0
223233,1706306430.2825823,74.0
223584,1706306431.284276,52.0
223934,1706306432.2862163,53.0
224185,1706306433.2886925,53.0
224537,1706306434.2898896,52.0
224889,1706306435.2920332,52.0
225141,1706306436.2936285,53.0
225281,1706306438.0911212,100.0
225640,1706306439.0921013,56.0
226000,1706306440.371463,72.0
226361,1706306441.3744314,56.0
226714,1706306442.3750837,56.0
227000,1706306443.4447708,60.0
227329,1706306445.708819,132.0
227697,1706306446.7101145,56.0
228000,1706306447.8056135,61.0
228368,1706306448.8068063,56.0
228736,1706306449.8079455,56.0
229004,1706306450.8099213,56.0
229370,1706306451.8113632,56.0
229377,1706306453.3498905,92.0
229691,1706306454.3502924,44.0
230000,1706306455.6434667,53.0
230317,1706306456.644423,41.0
230634,1706306457.646518,41.0
230950,1706306458.6467233,41.0
231169,1706306459.6497471,41.0
231425,1706306461.7998137,108.0
231741,1706306462.8002486,53.0
232000,1706306463.9082172,58.0
232324,1706306464.9087799,53.0
232648,1706306465.909358,53.0
232972,1706306466.910617,52.0
233197,1706306467.911893,52.0
233473,1706306469.980425,115.0
233817,1706306470.9831767,59.0
234046,1706306471.9846113,56.0
234368,1706306472.9853263,53.0
234692,1706306473.9859588,52.0
235000,1706306475.2548072,67.0
235321,1706306476.2553673,52.0
235521,1706306478.2509289,111.0
235866,1706306479.251085,48.0
236115,1706306480.2529633,48.0
236465,1706306481.2581902,48.0
236810,1706306482.2595525,48.0
237060,1706306483.2621608,48.0
237407,1706306484.2627964,48.0
237569,1706306486.1667154,102.0
237919,1706306487.16719,48.0
238168,1706306488.1674893,48.0
238518,1706306489.1679468,48.0
238866,1706306490.1696894,48.0
239116,1706306491.1722972,48.0
239463,1706306492.1745913,48.0
239617,1706306494.0630062,100.0
239966,1706306495.064422,52.0
240217,1706306496.0654545,52.0
240569,1706306497.0677063,52.0
240921,1706306498.070195,52.0
241174,1706306499.0730722,53.0
241526,1706306500.07534,52.0
241665,1706306501.8693497,102.0
242000,1706306503.1469889,68.0
242346,1706306504.1476889,53.0
242694,1706306505.1501653,53.0
243000,1706306506.3163097,62.0
243347,1706306507.317235,53.0
243694,1706306508.3184655,53.0
243713,1706306509.8674166,87.0
244000,1706306510.9497178,60.0
244357,1706306511.9499965,56.0
244714,1706306512.9509497,56.0
245000,1706306514.0300488,60.0
245358,1706306515.0317245,56.0
245716,1706306516.0342813,56.0
245761,1706306517.469861,84.0
246000,1706306518.4785223,56.0
246337,1706306519.4805977,56.0
246674,1706306520.481135,56.0
247000,1706306521.7382693,70.0
247335,1706306522.738816,56.0
247672,1706306523.7397501,56.0
247809,1706306525.4614959,101.0
248042,1706306526.4615993,58.0
248379,1706306527.4629383,56.0
248716,1706306528.4647033,56.0
249000,1706306529.6542358,63.0
249324,1706306530.6556199,53.0
249648,1706306531.6556852,52.0
249857,1706306533.7513485,120.0
250120,1706306534.751626,56.0
250484,1706306535.7523081,56.0
250848,1706306536.7537591,56.0
251113,1706306537.7565918,56.0
251478,1706306538.758466,56.0
251841,1706306539.7588902,56.0
251905,1706306541.1464806,81.0
252137,1706306542.1476498,57.0
252475,1706306543.1499143,56.0
252812,1706306544.1524413,56.0
253052,1706306545.1549006,56.0
253390,1706306546.157815,56.0
253727,1706306547.159353,56.0
253953,1706306549.0747032,111.0
254170,1706306550.0771248,50.0
254493,1706306551.077294,48.0
254816,1706306552.0799367,48.0
255040,1706306553.0824976,48.0
255361,1706306554.0844035,48.0
255684,1706306555.0844793,48.0
256000,1706306556.3645256,62.0
256001,1706306557.6213405,69.0
256361,1706306558.6240008,56.0
256719,1706306559.6248786,56.0
257000,1706306560.7326088,50.0
257340,1706306561.733951,41.0
257681,1706306562.7367356,41.0
258000,1706306563.9724112,50.0
258049,1706306565.555073,83.0
258399,1706306566.555739,48.0
258750,1706306567.557705,48.0
259001,1706306568.5580864,48.0
259352,1706306569.5587807,48.0
259703,1706306570.5588017,48.0
