Throughput,Parallelism,Concurrency,LossRate,Score,rtt,energy,Time
0.005104,1,4,0.0,-0.0,33.4,44.770637,2023-09-27 20:26:41.183061
0.002848,1,4,0.0,-0.0,33.5,32.95829,2023-09-27 20:26:42.183732
0.00232,1,8,0.0,-0.0,33.5,31.561504,2023-09-27 20:26:43.184998
0.003328,1,8,0.0,-0.0,33.5,31.595072,2023-09-27 20:26:44.186039
0.056928,1,8,0.0,-0.0,33.4,31.704936,2023-09-27 20:26:45.187138
0.062144,1,8,0.0,-0.0,33.4,31.616496,2023-09-27 20:26:46.189603
0.016096,1,8,0.0,-0.0,33.4,33.682348,2023-09-27 20:26:47.191613
2309.960576,1,8,0.0,-1972.0,34.1,34.81711,2023-09-27 20:26:48.192138
2308.388088,1,8,0.0,-1970.0,33.3,33.823583,2023-09-27 20:26:49.193585
2537.740448,1,8,0.0,-2166.0,33.4,34.140781,2023-09-27 20:26:50.194539
2720.472352,1,8,0.0,-2322.0,33.4,34.767367,2023-09-27 20:26:51.195378
3090.116096,1,8,0.0,-2637.0,33.4,39.685506,2023-09-27 20:26:52.196720
3202.883016,1,8,0.0,-2734.0,33.6,34.991976,2023-09-27 20:26:53.197312
3040.7568,1,8,0.0,-2595.0,33.4,35.849152,2023-09-27 20:26:54.199416
3085.082928,1,8,0.0,-2633.0,33.5,34.57706,2023-09-27 20:26:55.199619
2965.212848,1,8,0.0,-2531.0,33.3,35.025056,2023-09-27 20:26:56.201421
2867.07952,1,8,0.0,-2447.0,33.4,34.978732,2023-09-27 20:26:57.202745
2892.90052,1,8,0.0,-2469.0,33.4,34.223057,2023-09-27 20:26:58.203268
2957.784448,1,8,0.0,-2524.0,33.4,34.056492,2023-09-27 20:26:59.205227
3015.717552,1,8,0.0,-2574.0,33.7,37.004483,2023-09-27 20:27:00.206238
3184.834976,1,8,0.0,-2718.0,33.5,36.247099,2023-09-27 20:27:01.207635
3147.259504,1,8,0.0,-2686.0,33.4,34.717014,2023-09-27 20:27:02.208061
3098.606432,1,8,0.0,-2645.0,33.4,35.127229,2023-09-27 20:27:03.208929
2933.04728,1,8,0.0,-2503.0,33.3,36.757841,2023-09-27 20:27:04.209872
2943.140048,1,8,0.0,-2512.0,33.9,39.032492,2023-09-27 20:27:05.211805
2891.16656,1,8,0.0,-2468.0,33.7,34.505282,2023-09-27 20:27:06.212350
3034.358968,1,8,0.0,-2590.0,33.4,39.107994,2023-09-27 20:27:07.214679
3148.001232,1,8,0.0,-2687.0,33.4,36.66409,2023-09-27 20:27:08.213353
3173.9384,1,8,0.0,-2709.0,33.4,57.673559,2023-09-27 20:27:09.213949
1651.34592,1,8,0.0,-1409.0,33.3,71.163575,2023-09-27 20:27:10.218244
384.973576,1,8,0.0,-329.0,33.3,43.452464,2023-09-27 20:27:11.217672
2660.620504,1,8,0.0,-2271.0,33.3,56.45469,2023-09-27 20:27:12.218809
2372.99648,1,8,0.0,-2025.0,33.4,60.311308,2023-09-27 20:27:13.220142
2497.595336,1,8,0.0,-2132.0,33.4,47.805236,2023-09-27 20:27:14.218005
