Throughput,Parallelism,Concurrency,LossRate,Score,rtt,energy,Time
0.00184,1,8,0.0,-0.0,33.6,37.561733,2023-09-27 20:27:49.260151
0.008472,1,8,0.0,-0.0,33.5,31.709269,2023-09-27 20:27:50.260981
0.002272,1,16,0.0,-0.0,33.5,31.707744,2023-09-27 20:27:51.262222
0.011088,1,16,0.0,-0.0,33.4,31.886942,2023-09-27 20:27:52.263317
0.062416,1,16,0.0,-0.0,33.4,31.569682,2023-09-27 20:27:53.264373
7.703888,1,16,0.0,-6.0,33.5,31.752116,2023-09-27 20:27:54.266851
3223.246632,1,16,0.0,-2348.0,33.4,40.242756,2023-09-27 20:27:55.268033
3495.336688,1,16,0.0,-2546.0,33.4,38.343347,2023-09-27 20:27:56.269945
3682.937144,1,16,0.0,-2683.0,33.4,40.483051,2023-09-27 20:27:57.270050
6053.8774,1,16,0.0,-4410.0,33.7,52.965502,2023-09-27 20:27:58.271617
6278.579584,1,16,0.0,-4574.0,34.7,55.924905,2023-09-27 20:27:59.273656
6321.16484,1,16,0.0,-4605.0,33.4,58.627353,2023-09-27 20:28:00.275452
6021.90648,1,16,0.0,-4387.0,33.4,55.715738,2023-09-27 20:28:01.274919
5945.125232,1,16,0.0,-4331.0,33.4,52.256885,2023-09-27 20:28:02.276301
5798.301008,1,16,0.0,-4224.0,33.5,53.336229,2023-09-27 20:28:03.277377
5828.745872,1,16,0.0,-4246.0,33.6,51.366506,2023-09-27 20:28:04.278711
6059.45388,1,16,0.0,-4414.0,33.5,55.552226,2023-09-27 20:28:05.279737
6285.13864,1,16,0.0,-4578.0,34.0,52.110707,2023-09-27 20:28:06.281009
6332.134592,1,16,0.0,-4613.0,33.3,60.522916,2023-09-27 20:28:07.281896
6060.154512,1,16,0.0,-4414.0,33.6,59.759735,2023-09-27 20:28:08.282658
5760.097808,1,16,0.0,-4196.0,34.1,52.416308,2023-09-27 20:28:09.284114
5247.742064,1,16,0.0,-3823.0,34.0,56.249063,2023-09-27 20:28:10.284832
4986.187808,1,16,0.0,-3632.0,35.9,49.92309,2023-09-27 20:28:11.286475
5585.901184,1,16,0.0,-4069.0,34.0,52.456531,2023-09-27 20:28:12.288135
5888.962256,1,16,0.0,-4290.0,33.3,61.081447,2023-09-27 20:28:13.289761
5960.874176,1,16,0.0,-4342.0,33.5,58.700961,2023-09-27 20:28:14.289483
6268.807952,1,16,0.0,-4566.0,34.5,58.759981,2023-09-27 20:28:15.290458
