Throughput,Parallelism,Concurrency,LossRate,Score,rtt,energy,Time
0.010072,8,8,0.0,-0.0,33.5,40.936602,2023-09-27 20:44:26.371565
0.002272,8,8,0.0,-0.0,33.4,33.594091,2023-09-27 20:44:27.372075
0.003856,8,16,0.0,-0.0,33.5,32.26597,2023-09-27 20:44:28.373391
0.033024,8,16,0.0,-0.0,33.4,32.362649,2023-09-27 20:44:29.374327
0.068632,8,16,0.0,-0.0,33.5,32.33555,2023-09-27 20:44:30.374985
0.038992,8,16,0.0,-0.0,33.4,32.280129,2023-09-27 20:44:31.388856
3006.999216,8,16,0.0,-238.0,59.9,102.863384,2023-09-27 20:44:32.405014
9807.150752,8,16,0.0,-778.0,51.3,134.885886,2023-09-27 20:44:33.414125
9794.861368,8,16,0.0,-777.0,45.2,135.04598,2023-09-27 20:44:34.422042
9799.267728,8,16,0.0,-777.0,34.0,135.02126,2023-09-27 20:44:35.417445
8228.136792,8,16,0.0,-652.0,44.7,134.944418,2023-09-27 20:44:36.425961
9767.742728,8,16,0.0,-774.0,44.7,135.220357,2023-09-27 20:44:37.414433
9777.258944,8,16,0.0,-775.0,46.5,135.36501,2023-09-27 20:44:38.415721
9737.190704,8,16,0.0,-772.0,34.0,135.132711,2023-09-27 20:44:39.425189
8636.843448,8,16,0.0,-685.0,33.5,135.266194,2023-09-27 20:44:40.414107
9278.296208,8,16,0.0,-736.0,37.1,135.412617,2023-09-27 20:44:41.412779
9777.912168,8,16,0.0,-775.0,33.9,135.576496,2023-09-27 20:44:42.410684
9408.725584,8,16,0.0,-746.0,33.9,135.691486,2023-09-27 20:44:43.429403
8809.096784,8,16,0.0,-698.0,34.2,141.204656,2023-09-27 20:44:44.408946
8499.35068,8,16,0.0,-674.0,33.4,153.358616,2023-09-27 20:44:45.400265
7658.046264,8,16,0.0,-607.0,33.4,150.312543,2023-09-27 20:44:46.391502
1858.57504,8,16,0.0,-147.0,33.5,36.493009,2023-09-27 20:44:47.392264
0.004912,8,16,0.0,-0.0,33.6,32.378763,2023-09-27 20:44:48.393332
0.00544,8,16,0.0,-0.0,33.5,32.371132,2023-09-27 20:44:49.394054
0.001792,8,16,0.0,-0.0,33.5,32.343301,2023-09-27 20:44:50.395319
0.003904,8,16,0.0,-0.0,33.5,32.297586,2023-09-27 20:44:51.395911
0.002848,8,16,0.0,-0.0,33.6,32.322549,2023-09-27 20:44:52.397456
0.00232,8,16,0.0,-0.0,33.4,32.419046,2023-09-27 20:44:53.398643
0.002368,8,16,0.0,-0.0,33.4,32.287027,2023-09-27 20:44:54.400035
0.002848,8,16,0.0,-0.0,33.5,32.332315,2023-09-27 20:44:55.399826
0.002848,8,16,0.0,-0.0,33.5,45.458929,2023-09-27 20:44:56.401950
0.001312,8,8,0.0,-0.0,33.5,35.201387,2023-09-27 21:18:19.654773
0.00184,8,8,0.0,-0.0,33.5,33.628698,2023-09-27 21:18:20.655273
0.002368,8,16,0.0,-0.0,33.4,32.314919,2023-09-27 21:18:21.656401
0.02912,8,16,0.0,-0.0,33.4,32.321085,2023-09-27 21:18:22.658069
0.061936,8,16,0.0,-0.0,33.6,32.290139,2023-09-27 21:18:23.659327
0.042416,8,16,0.0,-0.0,35.3,32.279885,2023-09-27 21:18:24.690161
2320.236944,8,16,0.0,-184.0,46.1,88.014118,2023-09-27 21:18:25.711183
9807.894384,8,16,0.0,-778.0,34.0,134.387962,2023-09-27 21:18:26.712567
9591.1672,8,16,0.0,-760.0,34.3,134.375449,2023-09-27 21:18:27.728686
9036.064392,8,16,0.0,-716.0,34.3,134.417991,2023-09-27 21:18:28.704788
7593.518688,8,16,0.0,-602.0,33.7,133.821862,2023-09-27 21:18:29.726310
8217.334296,8,16,0.0,-651.0,44.2,134.552024,2023-09-27 21:18:30.716877
9558.331352,8,16,0.0,-758.0,34.4,134.703146,2023-09-27 21:18:31.734443
8756.330624,8,16,0.0,-694.0,33.8,134.541831,2023-09-27 21:18:32.732978
8612.27844,8,16,0.0,-683.0,33.6,134.423118,2023-09-27 21:18:33.737460
7769.268352,8,16,0.0,-616.0,35.3,134.563437,2023-09-27 21:18:34.713487
8738.600448,8,16,0.0,-693.0,33.8,134.678732,2023-09-27 21:18:35.730901
9235.721504,8,16,0.0,-732.0,34.2,134.849631,2023-09-27 21:18:36.713353
8624.055632,8,16,0.0,-684.0,34.1,134.699423,2023-09-27 21:18:37.729394
8636.961632,8,16,0.0,-685.0,33.5,135.376912,2023-09-27 21:18:38.720868
7771.344112,8,16,0.0,-616.0,35.0,148.203844,2023-09-27 21:18:39.686878
8053.790784,8,16,0.0,-639.0,33.4,100.641283,2023-09-27 21:18:40.686613
1525.124432,8,16,0.0,-121.0,33.4,75.808582,2023-09-27 21:18:41.687059
0.009592,8,16,0.0,-0.0,33.5,77.529221,2023-09-27 21:18:42.689491
0.004912,8,16,0.0,-0.0,33.5,40.451251,2023-09-27 21:18:43.690419
0.00496,8,16,0.0,-0.0,33.4,32.313638,2023-09-27 21:18:44.691246
0.00328,8,16,0.0,-0.0,33.4,32.300516,2023-09-27 21:18:45.692511
0.012088,8,16,0.0,-0.0,33.6,32.381936,2023-09-27 21:18:46.693396
0.006256,8,16,0.0,-0.0,33.4,32.290017,2023-09-27 21:18:47.695600
0.003856,8,16,0.0,-0.0,33.4,32.299783,2023-09-27 21:18:48.695354
0.002896,8,16,0.0,-0.0,33.5,42.481581,2023-09-27 21:18:49.696589
0.001264,8,8,0.0,-0.0,33.4,37.955714,2023-09-27 22:00:16.481339
0.000784,8,8,0.0,-0.0,33.4,34.680636,2023-09-27 22:00:17.482201
0.001264,8,16,0.0,-0.0,33.5,32.224283,2023-09-27 22:00:18.484145
0.039776,8,16,0.0,-0.0,33.4,32.248208,2023-09-27 22:00:19.485253
0.060304,8,16,0.0,-0.0,33.4,32.292703,2023-09-27 22:00:20.485692
0.02912,8,16,0.0,-0.0,33.3,32.282388,2023-09-27 22:00:21.514679
4358.80296,8,16,0.0,-346.0,37.1,76.55614,2023-09-27 22:00:22.511650
9691.077392,8,16,0.0,-768.0,34.6,133.550439,2023-09-27 22:00:23.514230
8359.251688,8,16,0.0,-663.0,47.6,133.435022,2023-09-27 22:00:24.535848
7145.206072,8,16,0.0,-566.0,40.2,119.948729,2023-09-27 22:00:25.519783
9786.53064,8,16,0.0,-776.0,34.3,134.376792,2023-09-27 22:00:26.561994
9235.220408,8,16,0.0,-732.0,34.4,134.437034,2023-09-27 22:00:27.514983
8358.224856,8,16,0.0,-663.0,33.5,134.235923,2023-09-27 22:00:28.537557
7916.966592,8,16,0.0,-628.0,33.5,134.092186,2023-09-27 22:00:29.534336
8371.788104,8,16,0.0,-664.0,33.9,134.053856,2023-09-27 22:00:30.529783
9595.701872,8,16,0.0,-761.0,33.9,134.42562,2023-09-27 22:00:31.527373
8802.911304,8,16,0.0,-698.0,33.9,134.121055,2023-09-27 22:00:32.529729
8499.94392,8,16,0.0,-674.0,33.7,134.054405,2023-09-27 22:00:33.521706
7936.990048,8,16,0.0,-629.0,33.6,137.863112,2023-09-27 22:00:34.507722
8079.788112,8,16,0.0,-641.0,40.1,149.348677,2023-09-27 22:00:35.496307
9690.911352,8,16,0.0,-768.0,34.3,149.477035,2023-09-27 22:00:36.495161
6563.769664,8,16,0.0,-520.0,33.4,133.955773,2023-09-27 22:00:37.494835
1455.997712,8,16,0.0,-115.0,33.4,138.508861,2023-09-27 22:00:38.494938
