Throughput,Parallelism,Concurrency,LossRate,Score,rtt,energy,Time
0.0028,4,16,0.0,-0.0,33.6,57.594824,2023-09-27 20:41:20.172228
0.00232,4,16,0.0,-0.0,33.5,38.899314,2023-09-27 20:41:21.173137
0.00232,8,1,0.0,-0.0,33.4,32.286111,2023-09-27 20:41:22.174230
0.037408,8,1,0.0,-0.0,33.6,32.305093,2023-09-27 20:41:23.175138
0.06136,8,1,0.0,-0.0,33.5,32.314737,2023-09-27 20:41:24.175850
0.038496,8,1,0.0,-0.0,33.5,32.291604,2023-09-27 20:41:25.177264
0.00184,8,1,0.0,-0.0,33.5,32.352823,2023-09-27 20:41:26.179575
0.0028,8,1,0.0,-0.0,33.5,32.245339,2023-09-27 20:41:27.179606
0.003328,8,1,0.0,-0.0,33.5,32.292764,2023-09-27 20:41:28.180717
957.187312,8,1,0.0,-817.0,33.9,33.1735,2023-09-27 20:41:29.183466
2894.034208,8,1,0.0,-2470.0,33.4,38.437706,2023-09-27 20:41:30.184321
3152.035744,8,1,0.0,-2690.0,33.7,41.635269,2023-09-27 20:41:31.185273
2379.280464,8,1,0.0,-2031.0,33.4,43.313915,2023-09-27 20:41:32.186673
3228.35368,8,1,0.0,-2755.0,34.8,36.360808,2023-09-27 20:41:33.188214
3128.311216,8,1,0.0,-2670.0,33.4,41.535294,2023-09-27 20:41:34.188859
1950.874512,8,1,0.0,-1665.0,33.7,43.907054,2023-09-27 20:41:35.190371
3182.676448,8,1,0.0,-2716.0,33.4,39.338888,2023-09-27 20:41:36.191264
3349.851984,8,1,0.0,-2859.0,34.1,43.13673,2023-09-27 20:41:37.192189
2042.551408,8,1,0.0,-1743.0,33.8,44.665413,2023-09-27 20:41:38.193978
3252.432896,8,1,0.0,-2776.0,33.6,38.763939,2023-09-27 20:41:39.194768
3228.762464,8,1,0.0,-2756.0,33.4,37.646938,2023-09-27 20:41:40.195910
1899.827664,8,1,0.0,-1621.0,33.4,41.662674,2023-09-27 20:41:41.197211
3195.43864,8,1,0.0,-2727.0,33.6,39.040915,2023-09-27 20:41:42.198236
3264.449856,8,1,0.0,-2786.0,33.3,42.761305,2023-09-27 20:41:43.198995
2019.948368,8,1,0.0,-1724.0,34.4,44.559456,2023-09-27 20:41:44.200835
3123.702224,8,1,0.0,-2666.0,33.4,37.210781,2023-09-27 20:41:45.199546
3201.6488,8,1,0.0,-2733.0,33.4,41.125444,2023-09-27 20:41:46.202148
1947.136512,8,1,0.0,-1662.0,33.4,45.938054,2023-09-27 20:41:47.203886
3283.37648,8,1,0.0,-2802.0,33.4,39.660482,2023-09-27 20:41:48.204527
3150.807504,8,1,0.0,-2689.0,33.4,48.736142,2023-09-27 20:41:49.205970
1991.695224,8,1,0.0,-1700.0,33.3,45.44306,2023-09-27 20:41:50.206647
3057.57664,8,1,0.0,-2610.0,33.5,40.615619,2023-09-27 20:41:51.207722
3290.763072,8,1,0.0,-2809.0,33.5,46.534732,2023-09-27 20:41:52.208465
2007.850256,8,1,0.0,-1714.0,33.5,50.189019,2023-09-27 20:41:53.210721
3234.222392,8,1,0.0,-2760.0,33.5,40.133381,2023-09-27 20:41:54.211718
3231.640144,8,1,0.0,-2758.0,33.4,41.476212,2023-09-27 20:41:55.212874
1968.382816,8,1,0.0,-1680.0,33.4,44.757881,2023-09-27 20:41:56.214310
3424.819776,8,1,0.0,-2923.0,33.6,41.586136,2023-09-27 20:41:57.214816
3004.495816,8,1,0.0,-2564.0,33.5,53.387009,2023-09-27 20:41:58.215855
1883.761856,8,1,0.0,-1608.0,33.3,48.257262,2023-09-27 20:41:59.216625
3210.747104,8,1,0.0,-2740.0,33.5,44.113656,2023-09-27 20:42:00.217418
3119.402656,8,1,0.0,-2662.0,33.4,41.122332,2023-09-27 20:42:01.220168
2075.914392,8,1,0.0,-1772.0,33.4,46.788393,2023-09-27 20:42:02.221177
3273.424848,8,1,0.0,-2794.0,33.3,39.549703,2023-09-27 20:42:03.221172
3142.731824,8,1,0.0,-2682.0,33.4,48.660032,2023-09-27 20:42:04.223180
1854.016,8,1,0.0,-1582.0,34.1,47.768432,2023-09-27 20:42:05.223984
3157.907008,8,1,0.0,-2695.0,33.3,36.362822,2023-09-27 20:42:06.225243
3147.355288,8,1,0.0,-2686.0,33.4,37.372463,2023-09-27 20:42:07.226436
2139.369728,8,1,0.0,-1826.0,33.4,43.812937,2023-09-27 20:42:08.227882
3270.224496,8,1,0.0,-2791.0,33.3,39.722066,2023-09-27 20:42:09.228609
3173.46624,8,1,0.0,-2709.0,33.5,40.913714,2023-09-27 20:42:10.229976
1863.41068,8,1,0.0,-1590.0,33.4,42.259475,2023-09-27 20:42:11.231350
3134.57504,8,1,0.0,-2675.0,33.5,39.207663,2023-09-27 20:42:12.232499
3131.110096,8,1,0.0,-2672.0,33.4,42.155104,2023-09-27 20:42:13.233326
