Throughput,Parallelism,Concurrency,LossRate,Score,rtt,energy,Time
0.029232,16,8,0.0,-0.0,33.5,40.488788,2023-09-27 20:47:52.594027
0.011712,16,8,0.0,-0.0,33.5,32.415567,2023-09-27 20:47:53.594505
0.003376,16,16,0.0,-0.0,33.5,32.425881,2023-09-27 20:47:54.595606
0.03952,16,16,0.0,-0.0,33.4,32.407754,2023-09-27 20:47:55.596575
0.07352,16,16,0.0,-0.0,33.4,32.402566,2023-09-27 20:47:56.598159
0.034016,16,16,0.0,-0.0,33.3,38.548791,2023-09-27 20:47:57.597227
2388.138176,16,16,0.0,-15.0,42.9,124.922714,2023-09-27 20:47:58.634664
9211.900312,16,16,0.0,-58.0,57.3,136.131305,2023-09-27 20:47:59.618035
9807.003216,16,16,0.0,-62.0,39.0,136.314348,2023-09-27 20:48:00.687188
9660.358032,16,16,0.0,-61.0,35.5,136.456133,2023-09-27 20:48:01.715554
9453.244384,16,16,0.0,-59.0,35.1,136.544877,2023-09-27 20:48:02.700571
8971.783632,16,16,0.0,-56.0,33.6,136.44356,2023-09-27 20:48:03.712958
8952.480016,16,16,0.0,-56.0,33.6,136.753067,2023-09-27 20:48:04.695625
8238.540176,16,16,0.0,-52.0,34.5,136.542803,2023-09-27 20:48:05.735874
7886.370984,16,16,0.0,-50.0,36.1,137.169082,2023-09-27 20:48:06.721136
9413.998616,16,16,0.0,-59.0,33.9,144.974727,2023-09-27 20:48:07.671382
8879.104952,16,16,0.0,-56.0,34.4,153.62186,2023-09-27 20:48:08.711409
8664.29016,16,16,0.0,-54.0,33.4,146.038445,2023-09-27 20:48:09.656838
8838.941208,16,16,0.0,-56.0,63.2,142.630372,2023-09-27 20:48:10.628521
9761.556904,16,16,0.0,-61.0,33.4,133.698694,2023-09-27 20:48:11.628212
7880.250032,16,16,0.0,-50.0,33.3,91.603159,2023-09-27 20:48:12.635710
2836.37352,16,16,0.0,-18.0,33.4,35.663789,2023-09-27 20:48:13.636582
739.669872,16,16,0.0,-5.0,33.5,34.576876,2023-09-27 20:48:14.637295
499.271608,16,16,0.0,-3.0,33.4,34.310154,2023-09-27 20:48:15.638305
502.623408,16,16,0.0,-3.0,33.4,33.947056,2023-09-27 20:48:16.639439
434.632512,16,16,0.0,-3.0,33.4,33.72843,2023-09-27 20:48:17.640121
426.334736,16,16,0.0,-3.0,33.4,34.032689,2023-09-27 20:48:18.641451
250.557432,16,16,0.0,-2.0,33.5,32.819618,2023-09-27 20:48:19.642123
140.752224,16,16,0.0,-1.0,33.4,32.44761,2023-09-27 20:48:20.642469
17.991824,16,16,0.0,-0.0,33.5,32.397134,2023-09-27 20:48:21.643259
0.005824,16,16,0.0,-0.0,33.4,32.410134,2023-09-27 20:48:22.644702
0.012952,16,16,0.0,-0.0,33.4,32.639626,2023-09-27 20:48:23.646241
0.00676,16,16,0.0,-0.0,33.4,33.146399,2023-09-27 20:48:24.647264
0.003424,16,16,0.0,-0.0,33.4,33.087745,2023-09-27 20:48:25.649399
0.002368,16,16,0.0,-0.0,33.4,32.912453,2023-09-27 20:48:26.649682
0.009592,16,16,0.0,-0.0,33.5,40.644366,2023-09-27 20:48:27.649355
0.00184,16,16,0.0,-0.0,33.4,52.170398,2023-09-27 20:48:28.651660
0.002064,16,16,0.0,-0.0,33.4,52.326221,2023-09-27 20:48:29.652287
0.00184,16,8,0.0,-0.0,33.5,40.666827,2023-09-27 21:21:50.900140
0.001936,16,8,0.0,-0.0,33.5,34.009252,2023-09-27 21:21:51.900749
0.013024,16,16,0.0,-0.0,33.4,32.388772,2023-09-27 21:21:52.902293
0.060144,16,16,0.0,-0.0,33.4,32.446023,2023-09-27 21:21:53.903100
0.056976,16,16,0.0,-0.0,33.4,32.430947,2023-09-27 21:21:54.904237
115.136384,16,16,0.0,-1.0,35.4,32.387246,2023-09-27 21:21:55.905656
8257.301376,16,16,0.0,-52.0,57.6,87.944843,2023-09-27 21:21:56.945495
9795.994528,16,16,0.0,-62.0,44.0,136.215472,2023-09-27 21:21:57.967160
9739.433888,16,16,0.0,-61.0,44.0,136.746049,2023-09-27 21:21:59.047341
9748.858752,16,16,0.0,-61.0,36.9,136.924393,2023-09-27 21:21:59.998921
9016.782704,16,16,0.0,-57.0,34.4,136.829972,2023-09-27 21:22:00.971766
8789.31208,16,16,0.0,-55.0,33.7,137.076004,2023-09-27 21:22:01.975740
8823.216472,16,16,0.0,-55.0,36.2,136.899003,2023-09-27 21:22:02.972172
8217.779184,16,16,0.0,-52.0,33.6,137.104507,2023-09-27 21:22:03.984091
7080.077384,16,16,0.0,-45.0,33.7,136.914078,2023-09-27 21:22:05.086895
8898.651264,16,16,0.0,-56.0,34.2,140.174507,2023-09-27 21:22:05.973830
8441.851528,16,16,0.0,-53.0,34.0,148.398912,2023-09-27 21:22:06.942480
6424.311128,16,16,0.0,-40.0,33.4,152.041054,2023-09-27 21:22:07.918882
0.054368,16,16,0.0,-0.0,33.4,53.724777,2023-09-27 21:22:08.919142
0.005488,16,16,0.0,-0.0,33.5,32.535317,2023-09-27 21:22:09.920071
0.003904,16,16,0.0,-0.0,33.5,32.508034,2023-09-27 21:22:10.920524
0.001584,16,16,0.0,-0.0,33.4,40.801776,2023-09-27 21:22:11.921786
0.001744,16,8,0.0,-0.0,33.5,47.673523,2023-09-27 22:03:50.704568
0.001264,16,8,0.0,-0.0,33.7,33.133583,2023-09-27 22:03:51.705352
0.037472,16,16,0.0,-0.0,33.5,32.359353,2023-09-27 22:03:52.706877
0.060784,16,16,0.0,-0.0,33.5,32.326516,2023-09-27 22:03:53.707560
0.032384,16,16,0.0,-0.0,33.4,32.394265,2023-09-27 22:03:54.708466
2215.2684,16,16,0.0,-14.0,39.7,32.469156,2023-09-27 22:03:55.708397
8248.42112,16,16,0.0,-52.0,52.7,93.61182,2023-09-27 22:03:56.763700
9742.830784,16,16,0.0,-61.0,58.3,136.023456,2023-09-27 22:03:57.785410
9796.846816,16,16,0.0,-62.0,58.3,136.321062,2023-09-27 22:03:58.776516
9806.479328,16,16,0.0,-62.0,49.4,136.409624,2023-09-27 22:03:59.787738
9754.041136,16,16,0.0,-61.0,44.4,136.844377,2023-09-27 22:04:00.756038
9274.248552,16,16,0.0,-58.0,36.3,136.580155,2023-09-27 22:04:01.770167
8472.477752,16,16,0.0,-53.0,34.1,136.529314,2023-09-27 22:04:02.769616
7792.345208,16,16,0.0,-49.0,33.5,136.551286,2023-09-27 22:04:03.731615
9349.926984,16,16,0.0,-59.0,36.6,136.786454,2023-09-27 22:04:04.802007
