Throughput,Parallelism,Concurrency,LossRate,Score,rtt,energy,Time
0.001312,4,4,0.0,-0.0,33.5,46.251591,2023-09-27 20:40:12.098380
0.0028,4,4,0.0,-0.0,33.5,31.512004,2023-09-27 20:40:13.099280
0.003808,4,8,0.0,-0.0,33.5,31.391155,2023-09-27 20:40:14.100637
0.060784,4,8,0.0,-0.0,33.4,31.38731,2023-09-27 20:40:15.101723
0.06088,4,8,0.0,-0.0,33.4,31.412761,2023-09-27 20:40:16.103200
0.010208,4,8,0.0,-0.0,33.4,31.57658,2023-09-27 20:40:17.103815
6457.545392,4,8,0.0,-3427.0,33.6,85.0209,2023-09-27 20:40:18.107735
6820.957312,4,8,0.0,-3619.0,33.7,78.181807,2023-09-27 20:40:19.108806
7178.008224,4,8,0.0,-3809.0,39.2,84.459745,2023-09-27 20:40:20.108947
8001.178192,4,8,0.0,-4246.0,34.4,101.132553,2023-09-27 20:40:21.109408
8440.091088,4,8,0.0,-4479.0,33.6,101.975325,2023-09-27 20:40:22.110106
8167.307744,4,8,0.0,-4334.0,33.6,89.91249,2023-09-27 20:40:23.112286
8126.51448,4,8,0.0,-4312.0,33.9,107.219025,2023-09-27 20:40:24.112583
7742.388128,4,8,0.0,-4108.0,33.8,119.713011,2023-09-27 20:40:25.112908
3817.30552,4,8,0.0,-2026.0,33.6,113.380325,2023-09-27 20:40:26.115250
6782.38808,4,8,0.0,-3599.0,33.5,88.365679,2023-09-27 20:40:27.116771
7210.348464,4,8,0.0,-3826.0,33.5,88.513751,2023-09-27 20:40:28.114552
7386.988576,4,8,0.0,-3920.0,33.5,90.114027,2023-09-27 20:40:29.118571
8373.843568,4,8,0.0,-4443.0,40.1,107.411834,2023-09-27 20:40:30.117243
7888.295744,4,8,0.0,-4186.0,35.4,84.91708,2023-09-27 20:40:31.117736
7927.37016,4,8,0.0,-4207.0,33.7,90.597913,2023-09-27 20:40:32.120969
8422.263536,4,8,0.0,-4469.0,35.1,103.114543,2023-09-27 20:40:33.122093
8436.660416,4,8,0.0,-4477.0,33.4,118.549074,2023-09-27 20:40:34.123153
5079.385776,4,8,0.0,-2695.0,33.3,118.254824,2023-09-27 20:40:35.125178
1392.541328,4,8,0.0,-739.0,33.5,43.581615,2023-09-27 20:40:36.124742
190.266472,4,8,0.0,-101.0,33.3,60.473966,2023-09-27 20:40:37.124993
0.002272,4,8,0.0,-0.0,33.4,60.270598,2023-09-27 20:40:38.126709
0.003328,4,8,0.0,-0.0,33.4,32.174539,2023-09-27 20:40:39.127511
0.002848,4,8,0.0,-0.0,33.4,32.108621,2023-09-27 20:40:40.128553
0.010072,4,8,0.0,-0.0,33.4,32.006327,2023-09-27 20:40:41.129887
0.002848,4,8,0.0,-0.0,33.4,32.058329,2023-09-27 20:40:42.130776
0.002368,4,8,0.0,-0.0,33.5,32.193338,2023-09-27 20:40:43.132014
0.002064,4,8,0.0,-0.0,33.4,32.059672,2023-09-27 20:40:44.133157
0.0106,4,8,0.0,-0.0,33.5,32.004801,2023-09-27 20:40:45.134211
0.003328,4,8,0.0,-0.0,33.4,32.038431,2023-09-27 20:40:46.135171
0.00328,4,8,0.0,-0.0,33.4,32.398782,2023-09-27 20:40:47.135704
0.002848,4,8,0.0,-0.0,33.5,56.751441,2023-09-27 20:40:48.137792
0.002016,4,4,0.0,-0.0,33.4,36.214629,2023-09-27 21:14:04.380301
0.003856,4,4,0.0,-0.0,33.5,32.310586,2023-09-27 21:14:05.380915
0.003392,4,8,0.0,-0.0,33.4,32.063211,2023-09-27 21:14:06.382152
0.068584,4,8,0.0,-0.0,33.4,31.972941,2023-09-27 21:14:07.384153
0.061936,4,8,0.0,-0.0,33.4,31.987955,2023-09-27 21:14:08.384190
0.026816,4,8,0.0,-0.0,33.7,31.935282,2023-09-27 21:14:09.384092
7901.937088,4,8,0.0,-4193.0,36.3,97.443842,2023-09-27 21:14:10.385908
7311.701672,4,8,0.0,-3880.0,37.8,98.403618,2023-09-27 21:14:11.389277
7247.038016,4,8,0.0,-3846.0,36.8,98.092766,2023-09-27 21:14:12.389400
9165.656288,4,8,0.0,-4864.0,39.0,111.523274,2023-09-27 21:14:13.391224
7856.204624,4,8,0.0,-4169.0,33.3,100.688096,2023-09-27 21:14:14.391821
7367.157624,4,8,0.0,-3909.0,35.8,101.931502,2023-09-27 21:14:15.394826
7501.942752,4,8,0.0,-3981.0,43.2,101.615157,2023-09-27 21:14:16.394311
9002.417712,4,8,0.0,-4777.0,34.2,119.444519,2023-09-27 21:14:17.393390
3568.337664,4,8,0.0,-1893.0,45.6,109.120509,2023-09-27 21:14:18.394456
7926.539104,4,8,0.0,-4206.0,34.4,85.646449,2023-09-27 21:14:19.397327
7172.956656,4,8,0.0,-3806.0,33.3,92.876166,2023-09-27 21:14:20.399595
7390.430352,4,8,0.0,-3922.0,40.5,98.476737,2023-09-27 21:14:21.400060
9127.935424,4,8,0.0,-4844.0,41.4,120.274595,2023-09-27 21:14:22.400648
8047.16216,4,8,0.0,-4270.0,41.4,101.52275,2023-09-27 21:14:23.402524
7470.857712,4,8,0.0,-3964.0,39.1,96.192685,2023-09-27 21:14:24.403930
7411.626016,4,8,0.0,-3933.0,33.4,98.734428,2023-09-27 21:14:25.397547
9284.46376,4,8,0.0,-4927.0,39.7,121.859551,2023-09-27 21:14:26.405146
3089.770016,4,8,0.0,-1640.0,33.3,116.082772,2023-09-27 21:14:27.405551
0.004432,4,8,0.0,-0.0,33.5,32.509377,2023-09-27 21:14:28.406444
0.005776,4,8,0.0,-0.0,33.5,32.097269,2023-09-27 21:14:29.407198
0.001056,4,8,0.0,-0.0,33.5,32.357583,2023-09-27 21:14:30.408063
0.00448,4,8,0.0,-0.0,33.5,32.080423,2023-09-27 21:14:31.408895
0.004384,4,8,0.0,-0.0,33.4,32.163981,2023-09-27 21:14:32.410338
0.002848,4,8,0.0,-0.0,33.4,32.140786,2023-09-27 21:14:33.411407
0.00232,4,8,0.0,-0.0,33.4,46.442386,2023-09-27 21:14:34.412440
0.0028,4,4,0.0,-0.0,33.5,34.644198,2023-09-27 21:48:01.668822
0.002848,4,4,0.0,-0.0,33.6,31.812174,2023-09-27 21:48:02.670236
0.00232,4,8,0.0,-0.0,33.4,31.895366,2023-09-27 21:48:03.671033
0.04976,4,8,0.0,-0.0,33.4,31.827738,2023-09-27 21:48:04.672166
0.06136,4,8,0.0,-0.0,33.5,31.845744,2023-09-27 21:48:05.673725
0.02456,4,8,0.0,-0.0,33.6,57.114111,2023-09-27 21:48:06.675992
4791.234336,4,8,0.0,-2542.0,34.0,64.580157,2023-09-27 21:48:07.677046
5833.232832,4,8,0.0,-3095.0,34.4,62.914268,2023-09-27 21:48:08.678858
5417.596688,4,8,0.0,-2875.0,38.6,94.986634,2023-09-27 21:48:09.678931
7699.782016,4,8,0.0,-4086.0,41.4,93.132147,2023-09-27 21:48:10.680487
8182.951576,4,8,0.0,-4342.0,34.3,101.069443,2023-09-27 21:48:11.679043
8174.67128,4,8,0.0,-4338.0,34.0,122.533805,2023-09-27 21:48:12.682716
8530.518432,4,8,0.0,-4527.0,33.3,110.086266,2023-09-27 21:48:13.683676
6104.249648,4,8,0.0,-3239.0,33.4,104.954321,2023-09-27 21:48:14.684069
5150.472088,4,8,0.0,-2733.0,33.4,92.376473,2023-09-27 21:48:15.685813
7828.3604,4,8,0.0,-4154.0,34.0,107.252105,2023-09-27 21:48:16.680801
7024.731936,4,8,0.0,-3728.0,34.0,105.660435,2023-09-27 21:48:17.685425
5564.345344,4,8,0.0,-2953.0,34.3,87.69399,2023-09-27 21:48:18.688721
7573.907352,4,8,0.0,-4019.0,33.9,93.305852,2023-09-27 21:48:19.690321
7412.50008,4,8,0.0,-3933.0,34.9,112.426898,2023-09-27 21:48:20.692259
8122.395968,4,8,0.0,-4310.0,34.9,103.08604,2023-09-27 21:48:21.686334
8466.630464,4,8,0.0,-4493.0,33.4,101.318161,2023-09-27 21:48:22.692913
6818.60948,4,8,0.0,-3618.0,33.3,106.769685,2023-09-27 21:48:23.688927
5989.026496,4,8,0.0,-3178.0,33.4,61.314785,2023-09-27 21:48:24.694563
6084.23608,4,8,0.0,-3228.0,33.3,73.90014,2023-09-27 21:48:25.694727
2586.740592,4,8,0.0,-1373.0,33.4,89.792007,2023-09-27 21:48:26.694829
382.64036,4,8,0.0,-203.0,33.5,41.422745,2023-09-27 21:48:27.696603
59.495984,4,8,0.0,-32.0,33.4,32.278055,2023-09-27 21:48:28.697470
43.11528,4,8,0.0,-23.0,33.4,32.173379,2023-09-27 21:48:29.699033
0.003376,4,8,0.0,-0.0,33.5,32.081888,2023-09-27 21:48:30.700193
0.010072,4,8,0.0,-0.0,33.4,32.062846,2023-09-27 21:48:31.700605
0.002272,4,8,0.0,-0.0,33.4,32.027017,2023-09-27 21:48:32.701795
0.00184,4,8,0.0,-0.0,33.4,32.148538,2023-09-27 21:48:33.702805
0.00232,4,8,0.0,-0.0,33.4,32.095377,2023-09-27 21:48:34.704800
0.009544,4,8,0.0,-0.0,33.4,32.054056,2023-09-27 21:48:35.704920
0.002848,4,8,0.0,-0.0,33.4,32.17869,2023-09-27 21:48:36.706824
0.002848,4,8,0.0,-0.0,33.4,32.246988,2023-09-27 21:48:37.707812
0.00232,4,8,0.0,-0.0,33.4,32.220865,2023-09-27 21:48:38.709289
0.010408,4,8,0.0,-0.0,33.5,32.257119,2023-09-27 21:48:39.710248
0.00328,4,8,0.0,-0.0,33.4,32.251199,2023-09-27 21:48:40.711313
0.001792,4,8,0.0,-0.0,33.5,32.199625,2023-09-27 21:48:41.712442
0.003376,4,8,0.0,-0.0,33.4,32.188089,2023-09-27 21:48:42.713513
0.002496,4,8,0.0,-0.0,33.4,32.102701,2023-09-27 21:48:43.714915
0.0028,4,8,0.0,-0.0,33.4,32.088846,2023-09-27 21:48:44.715826
0.0028,4,8,0.0,-0.0,33.4,32.205301,2023-09-27 21:48:45.716961
0.0028,4,8,0.0,-0.0,33.5,32.100747,2023-09-27 21:48:46.717979
0.003328,4,8,0.0,-0.0,33.4,32.183512,2023-09-27 21:48:47.719175
0.003808,4,8,0.0,-0.0,33.4,32.209756,2023-09-27 21:48:48.720489
