Throughput,Parallelism,Concurrency,LossRate,Score,rtt,energy,Time
0.036608,16,4,0.0,-0.0,33.5,39.99239,2023-09-27 20:47:14.548427
0.040976,16,4,0.0,-0.0,33.4,32.523659,2023-09-27 20:47:15.550059
0.010048,16,8,0.0,-0.0,33.5,32.418008,2023-09-27 20:47:16.550070
0.03136,16,8,0.0,-0.0,33.5,32.502847,2023-09-27 20:47:17.550864
0.097872,16,8,0.0,-0.0,33.4,32.46299,2023-09-27 20:47:18.551745
0.093872,16,8,0.0,-0.0,33.4,32.612344,2023-09-27 20:47:19.554277
2080.094912,16,8,0.0,-165.0,40.2,112.932083,2023-09-27 20:47:20.548601
8491.089048,16,8,0.0,-673.0,33.4,109.029628,2023-09-27 20:47:21.549867
5958.331176,16,8,0.0,-472.0,33.4,115.421152,2023-09-27 20:47:22.561151
2720.430816,16,8,0.0,-216.0,61.1,128.833654,2023-09-27 20:47:23.571840
9802.051856,16,8,0.0,-777.0,40.7,138.219495,2023-09-27 20:47:24.603638
9723.969008,16,8,0.0,-771.0,33.6,138.344556,2023-09-27 20:47:25.603086
8810.227648,16,8,0.0,-698.0,33.7,138.770091,2023-09-27 20:47:26.601503
7371.795328,16,8,0.0,-584.0,34.6,140.530463,2023-09-27 20:47:27.565250
8539.426416,16,8,0.0,-677.0,35.3,148.716294,2023-09-27 20:47:28.589201
8950.481512,16,8,0.0,-710.0,36.9,139.27595,2023-09-27 20:47:29.601149
9632.216224,16,8,0.0,-764.0,34.3,138.499401,2023-09-27 20:47:30.598412
8118.4518,16,8,0.0,-644.0,38.8,139.654733,2023-09-27 20:47:31.623395
9223.587472,16,8,0.0,-731.0,34.2,140.001228,2023-09-27 20:47:32.599415
9326.269976,16,8,0.0,-739.0,49.7,140.206673,2023-09-27 20:47:33.609759
9805.47712,16,8,0.0,-777.0,38.6,142.118166,2023-09-27 20:47:34.568065
9566.974592,16,8,0.0,-758.0,33.4,107.761382,2023-09-27 20:47:35.574267
5600.810688,16,8,0.0,-444.0,33.4,46.392704,2023-09-27 20:47:36.575801
64.722976,16,8,0.0,-5.0,33.5,33.436804,2023-09-27 20:47:37.576649
58.142944,16,8,0.0,-5.0,33.5,33.124976,2023-09-27 20:47:38.577861
0.0068,16,8,0.0,-0.0,33.6,33.09397,2023-09-27 20:47:39.579573
0.021376,16,8,0.0,-0.0,33.6,32.932716,2023-09-27 20:47:40.580031
0.005168,16,8,0.0,-0.0,33.5,33.09391,2023-09-27 20:47:41.581194
0.00604,16,8,0.0,-0.0,33.5,33.101844,2023-09-27 20:47:42.581160
0.003792,16,8,0.0,-0.0,33.5,33.022864,2023-09-27 20:47:43.583528
0.002112,16,8,0.0,-0.0,33.5,32.955604,2023-09-27 20:47:44.584854
0.004912,16,8,0.0,-0.0,33.5,33.039954,2023-09-27 20:47:45.585754
0.004736,16,8,0.0,-0.0,33.6,32.926185,2023-09-27 20:47:46.586825
0.007456,16,8,0.0,-0.0,33.4,32.937111,2023-09-27 20:47:47.587762
0.002848,16,8,0.0,-0.0,33.5,33.167823,2023-09-27 20:47:48.589126
0.002848,16,8,0.0,-0.0,33.5,33.158606,2023-09-27 20:47:49.590358
0.008608,16,8,0.0,-0.0,33.4,42.588697,2023-09-27 20:47:50.592077
0.025808,16,8,0.0,-0.0,33.4,49.778681,2023-09-27 20:47:51.593212
0.01012,16,4,0.0,-0.0,33.4,45.657293,2023-09-27 21:21:12.849099
0.002896,16,4,0.0,-0.0,33.5,37.79098,2023-09-27 21:21:13.849577
0.01168,16,8,0.0,-0.0,33.5,32.416421,2023-09-27 21:21:14.850435
0.062416,16,8,0.0,-0.0,33.5,32.44468,2023-09-27 21:21:15.851402
0.069048,16,8,0.0,-0.0,33.5,32.414712,2023-09-27 21:21:16.852300
32.413616,16,8,0.0,-3.0,33.7,32.380288,2023-09-27 21:21:17.850801
8670.914096,16,8,0.0,-687.0,40.8,78.195112,2023-09-27 21:21:18.850919
8574.21416,16,8,0.0,-680.0,36.1,134.42147,2023-09-27 21:21:19.850586
6483.320568,16,8,0.0,-514.0,36.6,120.942012,2023-09-27 21:21:20.873586
9474.095792,16,8,0.0,-751.0,42.7,129.17124,2023-09-27 21:21:21.883048
9249.88344,16,8,0.0,-733.0,38.5,136.719072,2023-09-27 21:21:22.887399
8755.945456,16,8,0.0,-694.0,36.0,136.845841,2023-09-27 21:21:23.895224
8831.671912,16,8,0.0,-700.0,38.1,136.769059,2023-09-27 21:21:24.905701
8028.444096,16,8,0.0,-637.0,35.4,136.696183,2023-09-27 21:21:25.879434
9252.825744,16,8,0.0,-734.0,34.0,139.886605,2023-09-27 21:21:26.931023
9488.643728,16,8,0.0,-752.0,34.2,138.54475,2023-09-27 21:21:27.907760
8451.044184,16,8,0.0,-670.0,34.6,137.390823,2023-09-27 21:21:28.917728
8047.221328,16,8,0.0,-638.0,34.8,142.11426,2023-09-27 21:21:29.910598
9291.584352,16,8,0.0,-737.0,51.7,139.92109,2023-09-27 21:21:30.873714
9795.871408,16,8,0.0,-777.0,39.1,137.078506,2023-09-27 21:21:31.874116
9167.282168,16,8,0.0,-727.0,33.4,128.26609,2023-09-27 21:21:32.881287
1934.742352,16,8,0.0,-153.0,33.4,61.937219,2023-09-27 21:21:33.881797
181.302784,16,8,0.0,-14.0,33.4,33.083107,2023-09-27 21:21:34.883134
68.024416,16,8,0.0,-5.0,33.4,32.683632,2023-09-27 21:21:35.883959
66.0758,16,8,0.0,-5.0,33.4,32.548745,2023-09-27 21:21:36.884657
0.003376,16,8,0.0,-0.0,33.4,32.522988,2023-09-27 21:21:37.885805
0.003376,16,8,0.0,-0.0,33.5,32.489907,2023-09-27 21:21:38.886807
0.003376,16,8,0.0,-0.0,33.5,32.492104,2023-09-27 21:21:39.888259
0.001792,16,8,0.0,-0.0,33.5,32.500344,2023-09-27 21:21:40.889089
0.00232,16,8,0.0,-0.0,33.4,32.500222,2023-09-27 21:21:41.890061
0.00328,16,8,0.0,-0.0,33.4,32.495705,2023-09-27 21:21:42.892023
0.001312,16,8,0.0,-0.0,33.5,32.494485,2023-09-27 21:21:43.892261
0.003136,16,8,0.0,-0.0,33.5,32.495217,2023-09-27 21:21:44.893337
0.003952,16,8,0.0,-0.0,33.5,32.581399,2023-09-27 21:21:45.894511
0.003536,16,8,0.0,-0.0,33.5,32.456826,2023-09-27 21:21:46.895542
0.003952,16,8,0.0,-0.0,33.4,32.446694,2023-09-27 21:21:47.895985
0.00184,16,8,0.0,-0.0,33.6,42.28279,2023-09-27 21:21:48.898088
0.00184,16,8,0.0,-0.0,33.4,42.407972,2023-09-27 21:21:49.898250
0.000784,16,4,0.0,-0.0,33.5,34.343051,2023-09-27 22:03:13.665750
0.000784,16,4,0.0,-0.0,33.5,33.520484,2023-09-27 22:03:14.667231
0.047048,16,8,0.0,-0.0,33.4,32.355141,2023-09-27 22:03:15.668046
0.059344,16,8,0.0,-0.0,33.5,32.401712,2023-09-27 22:03:16.669136
0.02864,16,8,0.0,-0.0,33.4,32.34446,2023-09-27 22:03:17.670229
4087.956192,16,8,0.0,-324.0,33.7,32.358865,2023-09-27 22:03:18.692785
9601.086952,16,8,0.0,-761.0,42.4,103.706949,2023-09-27 22:03:19.701319
9522.124976,16,8,0.0,-755.0,40.9,135.818622,2023-09-27 22:03:20.702606
9342.095896,16,8,0.0,-741.0,38.8,135.959796,2023-09-27 22:03:21.707384
8337.160608,16,8,0.0,-661.0,35.0,135.947711,2023-09-27 22:03:22.694919
9068.063968,16,8,0.0,-719.0,39.0,137.213333,2023-09-27 22:03:23.679310
9249.615864,16,8,0.0,-733.0,41.6,146.22631,2023-09-27 22:03:24.707495
9387.898064,16,8,0.0,-744.0,39.8,136.613847,2023-09-27 22:03:25.729143
9033.671416,16,8,0.0,-716.0,39.1,136.278887,2023-09-27 22:03:26.705899
9191.338696,16,8,0.0,-729.0,39.6,136.609819,2023-09-27 22:03:27.683805
8969.149576,16,8,0.0,-711.0,37.4,136.633866,2023-09-27 22:03:28.706275
9423.247896,16,8,0.0,-747.0,39.2,136.729692,2023-09-27 22:03:29.721217
9233.700872,16,8,0.0,-732.0,39.2,136.854142,2023-09-27 22:03:30.710009
9120.787328,16,8,0.0,-723.0,34.9,141.202946,2023-09-27 22:03:31.698454
7397.127728,16,8,0.0,-586.0,35.6,150.105572,2023-09-27 22:03:32.681407
2505.6508,16,8,0.0,-199.0,35.6,151.919594,2023-09-27 22:03:33.686864
144.00984,16,8,0.0,-11.0,33.4,36.327727,2023-09-27 22:03:34.687420
73.9208,16,8,0.0,-6.0,33.3,32.493142,2023-09-27 22:03:35.688319
84.785744,16,8,0.0,-7.0,33.6,32.561867,2023-09-27 22:03:36.689658
46.941664,16,8,0.0,-4.0,33.6,32.502297,2023-09-27 22:03:37.690656
22.815504,16,8,0.0,-2.0,33.6,32.43876,2023-09-27 22:03:38.691191
0.001264,16,8,0.0,-0.0,33.5,32.498208,2023-09-27 22:03:39.692336
0.001264,16,8,0.0,-0.0,33.7,32.925269,2023-09-27 22:03:40.694070
0.000784,16,8,0.0,-0.0,33.6,32.845924,2023-09-27 22:03:41.694891
0.002224,16,8,0.0,-0.0,33.5,32.935768,2023-09-27 22:03:42.695316
0.002224,16,8,0.0,-0.0,33.4,33.287452,2023-09-27 22:03:43.696770
0.002224,16,8,0.0,-0.0,33.6,32.93827,2023-09-27 22:03:44.698181
0.002224,16,8,0.0,-0.0,33.8,32.427773,2023-09-27 22:03:45.699751
0.002224,16,8,0.0,-0.0,33.4,32.43992,2023-09-27 22:03:46.699648
0.002224,16,8,0.0,-0.0,33.5,32.328347,2023-09-27 22:03:47.701483
0.001744,16,8,0.0,-0.0,33.7,32.402627,2023-09-27 22:03:48.701385
0.002224,16,8,0.0,-0.0,33.7,45.810246,2023-09-27 22:03:49.702277
0.001744,16,4,0.0,-0.0,33.4,35.126436,2023-09-27 22:37:04.936092
0.001744,16,4,0.0,-0.0,33.4,32.383828,2023-09-27 22:37:05.937253
0.017792,16,8,0.0,-0.0,33.4,32.413979,2023-09-27 22:37:06.938255
0.061264,16,8,0.0,-0.0,33.4,32.416604,2023-09-27 22:37:07.939527
0.053504,16,8,0.0,-0.0,33.4,32.367776,2023-09-27 22:37:08.940098
287.654576,16,8,0.0,-23.0,33.4,43.433788,2023-09-27 22:37:09.938792
7821.755936,16,8,0.0,-620.0,34.2,129.903964,2023-09-27 22:37:10.967435
9770.48824,16,8,0.0,-775.0,47.7,136.201983,2023-09-27 22:37:11.995625
9470.601712,16,8,0.0,-751.0,34.0,136.400835,2023-09-27 22:37:12.977652
7848.59276,16,8,0.0,-622.0,33.3,136.80214,2023-09-27 22:37:13.950251
8860.984784,16,8,0.0,-703.0,40.7,147.875781,2023-09-27 22:37:14.948881
8907.32064,16,8,0.0,-706.0,33.4,142.076541,2023-09-27 22:37:15.969302
9356.758432,16,8,0.0,-742.0,33.5,136.687394,2023-09-27 22:37:16.983075
7756.035992,16,8,0.0,-615.0,33.7,139.450327,2023-09-27 22:37:17.990368
9122.433968,16,8,0.0,-723.0,36.6,138.490185,2023-09-27 22:37:19.023837
9259.552144,16,8,0.0,-734.0,34.1,137.033279,2023-09-27 22:37:19.974443
8857.125208,16,8,0.0,-702.0,34.3,137.202286,2023-09-27 22:37:21.006407
8909.523392,16,8,0.0,-706.0,34.0,137.287002,2023-09-27 22:37:21.990213
8104.460416,16,8,0.0,-643.0,33.6,139.486459,2023-09-27 22:37:22.962209
