Throughput,Parallelism,Concurrency,LossRate,Score,rtt,energy,Time
0.0028,4,2,0.0,-0.0,33.5,43.555979,2023-09-27 20:39:28.049069
0.001792,4,2,0.0,-0.0,33.5,34.520298,2023-09-27 20:39:29.051328
0.00232,4,4,0.0,-0.0,33.5,31.522502,2023-09-27 20:39:30.052421
0.049112,4,4,0.0,-0.0,33.5,31.629741,2023-09-27 20:39:31.053342
0.060832,4,4,0.0,-0.0,33.4,31.594585,2023-09-27 20:39:32.054368
0.030176,4,4,0.0,-0.0,33.4,31.573222,2023-09-27 20:39:33.055782
0.0028,4,4,0.0,-0.0,33.5,31.517009,2023-09-27 20:39:34.056830
0.009592,4,4,0.0,-0.0,33.4,31.466289,2023-09-27 20:39:35.058098
0.002368,4,4,0.0,-0.0,33.5,31.504009,2023-09-27 20:39:36.059549
3484.065424,4,4,0.0,-2538.0,33.4,50.007196,2023-09-27 20:39:37.061898
6273.0144,4,4,0.0,-4570.0,33.3,66.779553,2023-09-27 20:39:38.062842
6029.812632,4,4,0.0,-4392.0,33.9,62.780601,2023-09-27 20:39:39.063081
5508.389168,4,4,0.0,-4013.0,34.0,52.398243,2023-09-27 20:39:40.064226
5539.675984,4,4,0.0,-4035.0,34.6,59.378143,2023-09-27 20:39:41.063326
5439.518384,4,4,0.0,-3962.0,33.4,70.973024,2023-09-27 20:39:42.066994
4207.760728,4,4,0.0,-3065.0,33.4,63.682149,2023-09-27 20:39:43.068379
6210.920016,4,4,0.0,-4524.0,33.8,56.174783,2023-09-27 20:39:44.069482
6181.2624,4,4,0.0,-4503.0,35.7,56.95719,2023-09-27 20:39:45.069858
5776.829792,4,4,0.0,-4208.0,33.7,60.476957,2023-09-27 20:39:46.070911
5570.183208,4,4,0.0,-4058.0,33.4,58.191136,2023-09-27 20:39:47.069112
5445.460288,4,4,0.0,-3967.0,33.4,68.048348,2023-09-27 20:39:48.073370
4137.19768,4,4,0.0,-3014.0,33.8,63.907613,2023-09-27 20:39:49.074620
6145.90064,4,4,0.0,-4477.0,33.4,59.978118,2023-09-27 20:39:50.075025
6147.488536,4,4,0.0,-4478.0,33.6,62.739768,2023-09-27 20:39:51.075839
5725.231344,4,4,0.0,-4171.0,33.4,59.180757,2023-09-27 20:39:52.077509
5662.034784,4,4,0.0,-4124.0,33.5,55.750895,2023-09-27 20:39:53.078204
5558.308992,4,4,0.0,-4049.0,33.7,71.061463,2023-09-27 20:39:54.080012
4391.124512,4,4,0.0,-3199.0,33.4,62.411523,2023-09-27 20:39:55.081184
6255.554784,4,4,0.0,-4557.0,33.4,64.050617,2023-09-27 20:39:56.082556
